entity_id,relation,value
m/hot_tub_time_machine,is,maximum
m/terminator,is,choppy
m/hot_tub_time_machine,features the miscellaneous theme,R
m/demolition_man,is,inspired
m/hot_tub_time_machine,is,inspired
m/terminator,features the theme,the lead
m/terminator,is,un
m/spaceballs,is,incompetent
m/hot_tub_time_machine,features the theme,parental content review
m/demolition_man,is,20th
m/demolition_man,features the theme,irony
m/hot_tub_time_machine,is,upbeat
m/hot_tub_time_machine,is,grown
m/hot_tub_time_machine,features the theme,his sister
m/terminator,is,menacing
m/dumb_and_dumber,is,witted
m/demolition_man,features the theme,sympathy
m/hot_tub_time_machine,features the theme,the trailer
m/spaceballs,features the theme,silliness
m/demolition_man,features the theme,cheek
m/dumb_and_dumber,features the theme,the apartment
m/dumb_and_dumber,features the theme,his apartment
m/hot_tub_time_machine,features the theme,genius
m/terminator,features the theme,genius
m/dumb_and_dumber,features the theme,a date
m/hot_tub_time_machine,is,throwaway
m/hot_tub_time_machine,is,alcoholic
m/hot_tub_time_machine,features the theme,a good way
m/hot_tub_time_machine,features the theme,this material
m/demolition_man,features the theme,explosions
m/terminator,features the theme,the ages
m/terminator,features the theme,a boy
m/hot_tub_time_machine,is,childish
m/hot_tub_time_machine,features the theme,honor
m/spaceballs,features the theme,honor
m/hot_tub_time_machine,is,reasonable
m/hot_tub_time_machine,features the theme,the concept
m/hot_tub_time_machine,is,tolerable
m/demolition_man,features the theme,the action scenes
m/hot_tub_time_machine,is,longtime
m/hot_tub_time_machine,is,exploitative
m/hot_tub_time_machine,is,outright
m/hot_tub_time_machine,features the theme,the events
m/dumb_and_dumber,features the theme,gags
m/terminator,is,heady
m/hot_tub_time_machine,features the person,Nick
m/dumb_and_dumber,features the person,Harry
m/spaceballs,features the miscellaneous theme,Star Wars
m/dumb_and_dumber,features the theme,mary
m/hot_tub_time_machine,features the theme,the gags
m/spaceballs,is,rampant
m/terminator,is,quintessential
m/hot_tub_time_machine,is,fearless
m/dumb_and_dumber,is,facial
m/dumb_and_dumber,is,dim
m/hot_tub_time_machine,is,clichd
m/hot_tub_time_machine,features the theme,momentum
m/demolition_man,is,murderous
m/terminator,is,murderous
m/dumb_and_dumber,features the theme,production
m/hot_tub_time_machine,features the theme,the writers
m/demolition_man,is,frozen
m/hot_tub_time_machine,features the theme,youth
m/demolition_man,is,sly
m/spaceballs,features the theme,its parts
m/dumb_and_dumber,features the theme,innocence
m/hot_tub_time_machine,is,obligatory
m/dumb_and_dumber,features the theme,gas
m/hot_tub_time_machine,is,unwieldy
m/dumb_and_dumber,is,slightest
m/demolition_man,is,unapologetic
m/terminator,features the theme,the police station
m/hot_tub_time_machine,is,demented
m/hot_tub_time_machine,features the theme,the hell
m/demolition_man,features the theme,a long way
m/hot_tub_time_machine,features the theme,teenagers
m/dumb_and_dumber,is,junior
m/spaceballs,is,ominous
m/demolition_man,features the theme,weapons
m/terminator,features the theme,the truck
m/hot_tub_time_machine,features the theme,the business
m/spaceballs,is,royal
m/terminator,features the person,Sarah
m/demolition_man,features the theme,boot
m/demolition_man,features the theme,confusion
m/demolition_man,features the theme,his gang
m/demolition_man,features the theme,refuge
m/terminator,features the theme,refuge
m/demolition_man,is,oppressive
m/hot_tub_time_machine,features the theme,no way
m/demolition_man,features the theme,face
m/dumb_and_dumber,is,intentional
m/dumb_and_dumber,features the theme,the duo
m/demolition_man,is,futuristic
m/terminator,is,futuristic
m/terminator,is,blooded
m/spaceballs,features the theme,a laugh
m/terminator,features the theme,a laugh
m/hot_tub_time_machine,features the theme,the field
m/hot_tub_time_machine,is,heated
m/hot_tub_time_machine,is,atrocious
m/hot_tub_time_machine,is,lukewarm
m/hot_tub_time_machine,features the theme,the band
m/terminator,features the theme,science fiction
m/hot_tub_time_machine,is,truthful
m/demolition_man,features the theme,our time
m/hot_tub_time_machine,features the theme,the mystery
m/hot_tub_time_machine,is,uproarious
m/hot_tub_time_machine,features the miscellaneous theme,Movies for the Masses
m/terminator,features the theme,the survivors
m/spaceballs,features the theme,the films
m/dumb_and_dumber,features the theme,the universe
m/demolition_man,features the theme,an action movie
m/hot_tub_time_machine,features the theme,the play
m/terminator,features the theme,this role
m/dumb_and_dumber,features the theme,an argument
m/hot_tub_time_machine,features the theme,full review at movies
m/hot_tub_time_machine,features the theme,sweetness
m/hot_tub_time_machine,features the theme,characterization
m/spaceballs,is,inclined
m/demolition_man,features the theme,his role
m/demolition_man,features the theme,their eyes
m/hot_tub_time_machine,is,slapdash
m/terminator,features the theme,its kind
m/hot_tub_time_machine,is,funniest
m/terminator,is,amazed
m/hot_tub_time_machine,features the theme,the-wall
m/dumb_and_dumber,features the person,Bobby
m/dumb_and_dumber,features the theme,the rest of the movie
m/hot_tub_time_machine,features the theme,the rest of the movie
m/spaceballs,features the location,Broadway
m/hot_tub_time_machine,is,rowdy
m/hot_tub_time_machine,features the theme,the real thing
m/terminator,features the theme,menace
m/hot_tub_time_machine,features the theme,absurdity
m/spaceballs,is,metaphysical
m/hot_tub_time_machine,is,triple
m/demolition_man,features the theme,flames
m/hot_tub_time_machine,features the theme,the edges
m/hot_tub_time_machine,features the theme,excess
m/dumb_and_dumber,features the theme,retaliation
m/terminator,is,rip
m/hot_tub_time_machine,features the theme,a missed opportunity
m/dumb_and_dumber,features the theme,his love
m/demolition_man,features the theme,no reason
m/hot_tub_time_machine,features the theme,rock
m/dumb_and_dumber,features the theme,a hoot
m/dumb_and_dumber,features the theme,ingenuity
m/spaceballs,is,lucrative
m/dumb_and_dumber,features the theme,the trouble
m/spaceballs,is,robotic
m/terminator,features the theme,the map
m/demolition_man,features the theme,risk
m/hot_tub_time_machine,is,misogynistic
m/demolition_man,is,undercut
m/spaceballs,features the miscellaneous theme,non
m/hot_tub_time_machine,is,pervasive
m/hot_tub_time_machine,features the theme,a career
m/dumb_and_dumber,is,dumbest
m/hot_tub_time_machine,is,dumbest
m/hot_tub_time_machine,is,bearable
m/hot_tub_time_machine,features the organization,CNN
m/dumb_and_dumber,features the theme,clothes
m/terminator,features the theme,clothes
m/hot_tub_time_machine,is,generational
m/hot_tub_time_machine,features the theme,game
m/hot_tub_time_machine,is,incorrect
m/hot_tub_time_machine,features the theme,guys
m/hot_tub_time_machine,features the theme,culture
m/hot_tub_time_machine,is,nagging
m/hot_tub_time_machine,is,coarse
m/terminator,features the theme,solid performances
m/hot_tub_time_machine,features the miscellaneous theme,' 80s
m/demolition_man,features the theme,no sense
m/terminator,features the theme,a nightclub
m/hot_tub_time_machine,features the organization,MTV
m/hot_tub_time_machine,features the theme,nick
m/terminator,features the theme,my mind
